Frame,FPS,MemoryMB,BelowTarget
245,105.63,1512.11,0
246,67.39,1513.19,0
247,68.31,1513.70,0
248,86.97,1515.44,0
249,81.76,1515.85,0
250,91.82,1517.57,0
251,66.66,1518.66,0
252,66.25,1519.80,0
253,61.58,1520.30,0
254,89.71,1522.13,0
255,63.11,1523.42,0
256,75.54,1523.76,0
257,71.00,1525.71,0
258,62.43,1526.95,0
259,73.52,1528.02,0
260,76.49,1528.71,0
261,94.80,1530.33,0
262,77.77,1530.79,0
263,107.22,1532.60,0
264,83.53,1533.13,0
265,111.77,1534.91,0
266,80.27,1536.04,0
267,83.26,1536.39,0
268,108.58,1538.31,0
269,77.72,1538.75,0
270,91.02,1540.64,0
271,69.03,1541.16,0
272,109.95,1542.82,0
273,83.84,1544.05,0
274,74.55,1544.63,0
275,105.58,1546.26,0
276,86.69,1546.68,0
277,98.11,1548.57,0
278,86.51,1549.00,0
279,100.00,1550.88,0
280,67.00,1552.15,0
281,83.05,1552.55,0
282,114.01,1554.38,0
283,67.63,1554.69,0
284,94.07,1556.59,0
285,71.27,1557.70,0
286,84.88,1558.09,0
287,99.30,1559.96,0
288,76.37,1560.55,0
289,108.97,1562.33,0
290,89.25,1562.79,0
291,90.53,1564.68,0
292,80.98,1565.84,0
293,81.11,1566.35,0
294,83.77,1568.20,0
295,80.55,1568.63,0
296,102.02,1570.43,0
297,72.26,1571.50,0
298,80.59,1572.06,0
299,107.84,1573.85,0
300,77.11,1574.36,0
301,91.09,1576.29,0
302,72.76,1577.28,0
303,82.90,1575.88,0
304,110.66,1571.10,0
305,77.10,1568.92,0
306,106.07,1569.13,0
307,70.51,1568.26,0
308,97.80,1568.18,0
309,75.13,1567.86,0
310,70.40,1567.01,0
311,81.74,1567.37,0
312,84.47,1567.08,0
313,71.29,1566.19,0
314,103.34,1566.62,0
315,85.15,1565.63,0
316,115.59,1566.17,0
317,74.04,1565.35,0
318,112.84,1565.79,0
319,76.69,1564.83,0
320,97.75,1565.32,0
321,83.17,1565.14,0
322,78.76,1564.25,0
323,72.23,1564.75,0
324,81.79,1564.58,0
325,68.84,1563.86,0
326,85.69,1564.10,0
327,73.35,1564.00,0
328,71.73,1563.45,0
329,78.53,1563.74,0
330,59.13,1563.71,1
331,74.89,1562.69,0
332,94.43,1563.20,0
333,76.91,1563.04,0
334,76.12,1562.17,0
335,86.91,1562.67,0
336,60.13,1562.60,0
337,80.67,1561.79,0
338,110.71,1562.39,0
339,76.39,1561.35,0
340,95.83,1562.03,0
341,82.54,1561.48,0
342,100.73,1561.65,0
343,80.47,1561.41,0
344,83.77,1560.55,0
345,114.70,1561.12,0
346,82.20,1560.16,0
347,100.61,1560.72,0
348,66.34,1559.72,0
349,93.72,1560.29,0
350,83.97,1560.06,0
351,80.74,1559.08,0
352,108.54,1559.54,0
353,76.39,1558.82,0
354,103.62,1559.19,0
355,80.94,1558.35,0
356,103.52,1558.85,0
357,83.29,1558.71,0
358,84.39,1557.67,0
359,113.13,1558.27,0
360,82.83,1557.43,0
361,106.21,1557.86,0
362,83.04,1556.72,0
363,99.59,1557.25,0
364,78.20,1556.28,0
365,72.90,1556.69,0
366,75.86,1556.48,0
367,69.04,1555.51,0
368,95.14,1556.09,0
369,83.73,1556.03,0
370,77.03,1555.13,0
371,104.15,1555.75,0
372,76.64,1555.18,0
373,101.65,1555.29,0
374,74.49,1555.16,0
375,65.20,1554.31,0
376,85.83,1554.83,0
377,84.93,1553.86,0
378,108.47,1554.40,0
379,75.11,1554.22,0
380,80.46,1553.38,0
381,111.18,1553.65,0
382,74.13,1552.57,0
383,106.33,1553.00,0
384,68.57,1552.80,0
385,73.05,1551.86,0
386,109.50,1551.92,0
387,79.23,1551.13,0
388,87.79,1551.91,0
389,71.66,1552.05,0
390,73.60,1551.31,0
391,99.60,1552.06,0
392,83.96,1551.50,0
393,93.10,1552.01,0
394,65.99,1552.05,0
395,72.64,1551.24,0
396,90.47,1551.94,0
397,81.34,1551.42,0
398,101.49,1552.10,0
399,79.26,1552.11,0
400,85.29,1551.47,0
401,108.64,1552.26,0
402,87.34,1551.43,0
403,110.04,1552.43,0
404,80.63,1551.65,0
405,94.93,1552.41,0
406,71.35,1552.44,0
407,56.18,1551.75,1
408,68.82,1552.53,0
409,62.23,1552.60,0
410,85.56,1552.66,0
411,79.56,1551.97,0
412,118.27,1552.69,0
413,74.28,1551.83,0
414,81.68,1552.60,0
415,70.21,1552.60,0
416,74.79,1552.04,0
417,95.36,1552.76,0
418,75.69,1552.12,0
419,90.01,1552.83,0
420,73.18,1552.90,0
421,81.51,1552.29,0
422,110.78,1552.96,0
423,78.30,1552.30,0
424,103.84,1552.92,0
425,87.34,1552.42,0
426,103.13,1552.86,0
427,65.68,1552.87,0
428,69.64,1552.18,0
429,94.45,1552.83,0
430,73.30,1552.72,0
431,80.04,1552.10,0
432,109.75,1552.81,0
433,74.98,1552.15,0
434,112.63,1552.88,0
435,74.82,1552.20,0
436,109.38,1552.80,0
437,82.62,1552.85,0
438,75.21,1552.45,0
439,97.47,1552.93,0
440,81.47,1552.18,0
441,95.32,1553.23,0
442,82.49,1552.52,0
443,109.04,1553.31,0
444,78.97,1553.35,0
445,80.15,1552.55,0
446,102.04,1553.28,0
447,77.09,1552.79,0
448,91.58,1553.30,0
449,54.05,1553.39,1
450,49.78,1553.44,1
451,60.34,1553.49,0
452,64.91,1552.83,0
453,82.79,1553.62,0
454,77.15,1553.61,0
455,81.08,1553.13,0
456,98.57,1553.84,0
457,77.12,1552.97,0
458,112.67,1553.78,0
459,82.46,1553.10,0
460,89.27,1553.96,0
461,65.12,1553.92,0
462,77.70,1553.21,0
463,97.62,1554.01,0
464,78.26,1554.07,0
465,62.41,1553.54,0
466,80.43,1554.11,0
467,84.43,1554.13,0
468,77.16,1553.36,0
469,105.70,1554.12,0
470,79.80,1553.48,0
471,101.52,1554.17,0
472,80.11,1553.36,0
473,103.11,1554.08,0
474,81.72,1554.08,0
475,81.10,1553.31,0
476,108.95,1554.09,0
477,84.13,1553.41,0
478,112.96,1553.90,0
479,85.17,1553.55,0
480,110.68,1554.13,0
481,84.66,1553.60,0
482,113.71,1554.24,0
483,78.20,1553.51,0
484,101.60,1554.39,0
485,69.35,1554.44,0
486,71.89,1553.85,0
487,92.77,1554.60,0
488,70.47,1554.66,0
489,86.46,1554.15,0
490,82.16,1554.64,0
491,75.55,1554.12,0
492,85.71,1554.52,0
493,65.14,1554.46,0
494,79.10,1553.53,0
495,102.60,1554.09,0
496,80.76,1553.07,0
497,108.81,1553.62,0
498,80.19,1553.39,0
499,73.71,1552.50,0
500,59.44,1553.20,1
501,76.74,1553.25,0
502,84.33,1552.60,0
503,108.33,1553.04,0
504,74.65,1552.43,0
505,79.48,1553.04,0
506,72.73,1553.03,0
507,81.17,1552.31,0
508,103.22,1553.05,0
509,78.80,1552.41,0
510,111.94,1553.12,0
511,77.78,1553.17,0
512,86.11,1552.92,0
513,107.46,1553.29,0
514,82.69,1552.62,0
515,106.08,1553.29,0
516,73.55,1552.77,0
517,106.13,1553.34,0
518,79.89,1552.65,0
519,99.85,1553.23,0
520,74.17,1553.22,0
521,66.45,1552.47,0
522,111.19,1553.23,0
523,80.28,1552.34,0
524,110.02,1553.21,0
525,71.09,1553.23,0
526,64.67,1552.36,0
527,87.01,1553.10,0
528,79.85,1553.19,0
529,77.93,1552.48,0
530,108.45,1553.11,0
531,70.25,1552.65,0
532,70.34,1552.97,0
533,70.24,1552.90,0
534,80.44,1552.11,0
535,113.55,1552.68,0
536,76.83,1552.71,0
537,77.12,1551.74,0
538,94.43,1552.54,0
539,83.41,1552.07,0
540,109.82,1552.62,0
541,72.87,1552.28,0
542,97.32,1552.66,0
543,76.07,1552.73,0
544,86.21,1552.13,0
545,89.39,1552.79,0
546,70.45,1552.85,0
547,85.45,1552.49,0
548,116.61,1552.98,0
549,80.75,1552.36,0
550,99.62,1553.21,0
551,86.40,1552.62,0
552,115.94,1553.41,0
553,81.15,1553.24,0
554,101.27,1553.32,0
555,74.59,1552.74,0
556,114.60,1553.19,0
557,85.09,1552.85,0
558,113.74,1553.24,0
559,85.19,1552.69,0
560,113.51,1553.24,0
561,79.95,1553.16,0
562,80.73,1552.52,0
563,110.11,1553.12,0
564,74.44,1553.13,0
565,104.82,1553.24,0
566,83.22,1552.50,0
567,111.21,1553.23,0
568,84.08,1552.55,0
569,108.43,1553.20,0
570,83.96,1552.77,0
571,102.55,1553.22,0
572,69.14,1553.33,0
573,62.44,1553.00,0
574,79.26,1553.34,0
575,77.64,1553.37,0
576,67.11,1553.35,0
577,82.08,1552.80,0
578,108.69,1553.27,0
579,81.07,1552.69,0
580,113.29,1553.18,0
581,83.20,1552.48,0
582,101.64,1553.05,0
583,71.31,1552.44,0
584,104.76,1553.07,0
585,79.88,1553.01,0
586,66.50,1552.73,0
587,87.59,1553.15,0
588,83.44,1552.48,0
589,108.47,1553.07,0
590,78.17,1553.01,0
591,84.70,1552.43,0
592,110.09,1552.94,0
593,87.41,1552.26,0
594,114.18,1552.86,0
595,80.83,1552.24,0
596,107.39,1552.91,0
597,74.71,1552.24,0
598,100.76,1552.90,0
599,78.70,1552.43,0
600,106.73,1552.87,0
601,83.72,1552.77,0
602,81.35,1552.22,0
603,114.27,1552.75,0
604,80.35,1552.23,0
605,90.27,1552.66,0
606,73.12,1552.26,0
607,84.99,1552.79,0
608,72.91,1552.77,0
609,77.08,1552.17,0
610,111.01,1552.93,0
611,85.31,1552.34,0
612,102.28,1552.93,0
613,84.41,1552.87,0
614,74.80,1552.23,0
615,86.22,1552.70,0
616,77.03,1552.00,0
617,103.84,1552.71,0
618,81.76,1552.10,0
619,102.43,1552.67,0
620,62.90,1552.67,0
621,79.45,1551.91,0
622,98.28,1552.72,0
623,80.06,1552.71,0
624,72.15,1552.31,0
625,89.11,1552.70,0
626,70.85,1552.65,0
627,69.95,1552.18,0
628,89.49,1552.76,0
629,85.47,1551.95,0
630,113.90,1552.63,0
631,80.50,1552.09,0
632,110.56,1552.55,0
633,76.30,1552.63,0
634,81.73,1551.92,0
635,110.39,1552.59,0
636,77.70,1552.09,0
637,106.48,1552.54,0
638,86.94,1552.07,0
639,113.30,1552.42,0
640,82.37,1551.87,0
641,110.60,1552.39,0
642,80.12,1551.70,0
643,84.36,1552.42,0
644,74.94,1552.29,0
645,77.77,1551.61,0
646,111.19,1552.40,0
647,85.87,1551.74,0
648,111.91,1552.53,0
649,81.54,1552.03,0
650,107.38,1552.59,0
651,73.57,1552.63,0
652,69.32,1552.13,0
653,85.41,1552.66,0
654,71.48,1552.71,0
655,68.12,1552.23,0
656,111.73,1552.79,0
657,79.38,1552.05,0
658,108.06,1552.84,0
659,77.19,1552.48,0
660,97.60,1552.91,0
661,79.28,1552.91,0
662,76.32,1552.41,0
663,82.12,1552.83,0
664,77.20,1552.84,0
665,76.95,1552.41,0
666,87.14,1552.87,0
667,64.19,1552.98,0
668,72.82,1552.53,0
669,97.87,1552.88,0
670,80.68,1552.63,0
671,94.25,1552.75,0
672,77.83,1552.75,0
673,81.03,1552.00,0
674,109.00,1552.68,0
