Frame,LeftArmError,RightArmError,LeftLegError,RightLegError
145,0.2931,0.3332,0.2218,0.2990
146,0.2931,0.3332,0.2218,0.2990
147,0.2931,0.3332,0.2218,0.2990
148,0.2931,0.3332,0.2218,0.2990
149,0.2931,0.3332,0.2218,0.2990
150,0.2931,0.3332,0.2218,0.2990
151,0.2931,0.3332,0.2218,0.2990
152,0.2931,0.3332,0.2218,0.2990
153,0.2931,0.3332,0.2218,0.2990
154,0.2931,0.3332,0.2218,0.2990
155,0.2931,0.3332,0.2218,0.2990
156,0.2931,0.3332,0.2218,0.2990
157,0.2931,0.3332,0.2218,0.2990
158,0.2931,0.3332,0.2218,0.2990
159,0.2931,0.3332,0.2218,0.2990
160,0.2931,0.3332,0.2218,0.2990
161,0.2931,0.3332,0.2218,0.2990
162,0.2931,0.3332,0.2218,0.2990
163,0.2931,0.3332,0.2218,0.2990
164,0.2931,0.3332,0.2218,0.2990
165,0.2931,0.3332,0.2218,0.2990
166,0.2931,0.3332,0.2218,0.2990
167,0.2931,0.3332,0.2218,0.2990
168,0.2931,0.3332,0.2218,0.2990
169,0.2931,0.3332,0.2218,0.2990
170,0.2931,0.3332,0.2218,0.2990
171,0.2931,0.3332,0.2218,0.2990
172,0.2931,0.3332,0.2218,0.2990
173,0.2931,0.3332,0.2218,0.2990
174,0.2931,0.3332,0.2218,0.2990
175,0.2931,0.3332,0.2218,0.2990
176,0.2931,0.3332,0.2218,0.2990
177,0.2931,0.3332,0.2218,0.2990
178,0.2931,0.3332,0.2218,0.2990
179,0.2931,0.3332,0.2218,0.2990
180,0.2931,0.3332,0.2218,0.2990
181,0.2931,0.3332,0.2218,0.2990
182,0.2931,0.3332,0.2218,0.2990
183,0.2931,0.3332,0.2218,0.2990
184,0.2931,0.3332,0.2218,0.2990
185,0.2931,0.3332,0.2218,0.2990
186,0.2931,0.3332,0.2218,0.2990
187,0.2931,0.3332,0.2218,0.2990
188,0.2931,0.3332,0.2218,0.2990
