Frame,FPS,MemoryMB,BelowTarget
245,126.05,1444.57,0
246,205.99,1445.63,0
247,189.05,1446.80,0
248,193.95,1448.43,0
249,120.95,1449.00,0
250,203.38,1450.21,0
251,207.83,1451.87,0
252,120.26,1452.34,0
253,184.08,1453.50,0
254,210.48,1454.82,0
255,216.27,1456.44,0
256,127.15,1457.12,0
257,204.33,1458.12,0
258,181.50,1459.82,0
259,110.05,1460.28,0
260,188.99,1461.39,0
261,180.89,1463.19,0
262,119.15,1463.65,0
263,179.27,1464.93,0
264,165.88,1466.62,0
265,101.58,1467.50,0
266,163.02,1468.43,0
267,142.40,1470.02,0
268,114.87,1470.57,0
269,195.19,1471.66,0
270,190.79,1473.50,0
271,122.17,1474.00,0
272,206.54,1475.27,0
273,197.83,1476.84,0
274,127.53,1477.29,0
275,210.97,1478.35,0
276,200.73,1480.06,0
277,124.67,1480.58,0
278,168.49,1481.77,0
279,156.23,1483.44,0
280,130.85,1483.94,0
281,191.28,1485.32,0
282,188.31,1486.38,0
283,192.71,1487.87,0
284,130.98,1488.44,0
285,204.92,1489.61,0
286,208.41,1491.35,0
287,126.35,1491.97,0
288,194.73,1493.10,0
289,203.50,1494.36,0
290,213.35,1495.94,0
291,125.11,1496.54,0
292,196.61,1497.72,0
293,176.22,1499.41,0
294,119.46,1499.92,0
295,179.59,1501.08,0
296,196.75,1502.78,0
297,129.94,1503.38,0
298,195.03,1504.45,0
299,175.74,1506.19,0
300,126.37,1506.71,0
301,182.91,1508.07,0
302,194.13,1508.98,0
303,190.92,1499.07,0
304,123.06,1495.58,0
305,194.29,1495.17,0
306,177.47,1494.15,0
307,103.10,1493.59,0
308,190.88,1493.39,0
309,170.99,1493.78,0
310,128.89,1493.57,0
311,186.22,1493.34,0
312,173.23,1493.87,0
313,113.23,1493.13,0
314,154.79,1493.76,0
315,200.74,1494.05,0
316,113.91,1494.12,0
317,Infinity,1493.37,0
318,Infinity,1494.02,0
319,Infinity,1494.30,0
320,Infinity,1494.53,0
321,Infinity,1494.54,0
322,Infinity,1494.72,0
323,Infinity,1494.80,0
324,Infinity,1495.17,0
325,Infinity,1495.32,0
326,Infinity,1495.45,0
327,Infinity,1495.57,0
328,Infinity,1495.66,0
329,Infinity,1495.58,0
330,Infinity,1495.95,0
331,Infinity,1496.20,0
332,Infinity,1496.31,0
333,Infinity,1496.32,0
